"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount"
"Argent (Property Development) Services LLP","","","","","","","","","","4468-13062019-6121","Brindleyplace PLC"," 2019-06-18"," 2019-06-18","","","Brindleyplace PLC","1","241.4","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Kilburn Square Housing Co-operative Limited"," 2018-09-26"," 2018-09-26","","","Kilburn Square Housing Co-operative Limited","1","198","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Magdalen Estate TMO Limited"," 2018-09-27"," 2018-09-27","","","Magdalen Estate TMO Limited","1","231","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Springfield Horseshoe Housing Man Co-op Limited"," 2018-09-27"," 2018-09-27","","","Springfield Horseshoe Housing Man Co-op Limited","1","231","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Watling Gardens Tenant Management Organisation Limited"," 2018-09-27"," 2018-09-27","","","Watling Gardens Tenant Management Organisation Limited","1","198","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","New Park Village TMC Limited"," 2018-09-27"," 2018-09-27","","","New Park Village TMC Limited","1","231","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Dovecotes Tenant Management Organisation Limited"," 2018-10-26"," 2018-10-26","","","Dovecotes Tenant Management Organisation Limited","1","231","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","4 Towers TMO Limited"," 2018-10-26"," 2018-10-26","","","4 Towers TMO Limited","1","231","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Clapton Park Management Organisation Limited"," 2018-11-12"," 2018-11-12","","","Clapton Park Management Organisation Limited","1","198","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Roman Way Estate C.I.C."," 2018-12-11"," 2018-12-11","","","Roman Way Estate C.I.C.","1","198","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","Manor Close RMO Limited"," 2018-12-24"," 2018-12-24","","","Manor Close RMO Limited","1","198","","200","20% (VAT on income)",""
"GCN Accounting Services Ltd","","","","","","","","","","4469-15062019-5664","GCN Accouting"," 2019-01-11"," 2019-01-11","","","GCN Accouting","1","198","","200","20% (VAT on income)",""
"Cordium Accounting Ltd ","","","","","","","","","","4471-15062019-6106","New Star Investment Trust plc"," 2019-05-27"," 2019-05-27","","","New Star Investment Trust plc","1","820","","200","20% (VAT on income)",""
"4D Pharma plc","","","","","","","","","","4480-15062019-6020","2018 4DR accounts"," 2019-06-11"," 2019-06-11","","","2018 4DR accounts","1","420","","200","20% (VAT on income)",""
